Sub_Category,Category,Product_Name,Total_Sales,Total_Profit,Total_Quantity,Avg_Days_to_Ship,Total_Orders
Binders,Office Supplies,GBC Standard Plastic Binding Systems' Combs,108.65,5.020000000000001,30,3.375,8
Binders,Office Supplies,Wilson Jones Suede Grain Vinyl Binders,16.4,5.0600000000000005,8,3,3
Furnishings,Furniture,"Dana Fluorescent Magnifying Lamp, White, 36""",326.27,5.09,9,3.6666666666666665,3
Accessories,Technology,Belkin Standard 104 key USB Keyboard,265.54,5.100000000000001,21,3.1666666666666665,6
Accessories,Technology,Sony 16GB Class 10 Micro SDHC R40 Memory Card,190.77,5.15,16,3.75,4
Fasteners,Office Supplies,OIC Thumb-Tacks,12.99,5.15,13,1.6666666666666667,3
Furnishings,Furniture,Tenex Chairmats For Use with Hard Floors,363.77,5.190000000000001,12,3.25,4
Paper,Office Supplies,Xerox 1901,16.9,5.28,4,2,1
Binders,Office Supplies,"Cardinal Slant-D Ring Binder, Heavy Gauge Vinyl",178.99,5.409999999999998,37,4.8,10
Accessories,Technology,Kingston Digital DataTraveler 32GB USB 2.0,355.95,5.42,22,3.857142857142857,7
Labels,Office Supplies,Avery 482,11.56,5.430000000000001,4,4.5,2
Binders,Office Supplies,Wilson Jones Four-Pocket Poly Binders,62.13,5.430000000000001,17,3,4
Accessories,Technology,SanDisk Cruzer 4 GB USB Flash Drive,25.96,5.52,5,5,2
Binders,Office Supplies,Wilson Jones Easy Flow II Sheet Lifters,51.48,5.620000000000001,49,3.9166666666666665,12
Paper,Office Supplies,"Universal Ultra Bright White Copier/Laser Paper, 8 1/2"" x 11"", Ream",15.55,5.64,3,3,1
Paper,Office Supplies,Xerox 1969,11.56,5.66,2,6,1
Binders,Office Supplies,"SlimView Poly Binder, 3/8""",117.58999999999997,5.700000000000003,40,4.571428571428571,7
Art,Office Supplies,"Binney & Smith inkTank Erasable Desk Highlighter, Chisel Tip, Yellow, 12/Box",17.64,5.75,8,2.6666666666666665,3
Chairs,Furniture,Global Super Steno Chair,1439.6999999999998,5.7500000000000036,18,4.2,5
Fasteners,Office Supplies,Translucent Push Pins by OIC,24.549999999999997,5.84,15,5,3
Storage,Office Supplies,Acco Perma 2700 Stacking Storage Drawers,208.18,5.949999999999999,8,4,4
Storage,Office Supplies,Eldon File Chest Portable File,79.4,5.96,5,4,1
Chairs,Furniture,"Global Leather & Oak Executive Chair, Burgundy",1116.58,6.039999999999999,8,4.333333333333333,3
Binders,Office Supplies,SpineVue Locking Slant-D Ring Binders by Cardinal,110.59000000000002,6.049999999999998,22,3.875,8
Art,Office Supplies,"Quartet Alpha White Chalk, 12/Pack",15.469999999999999,6.1,8,2.5,2
Art,Office Supplies,Newell 339,26.69,6.109999999999999,10,4.333333333333333,3
Phones,Technology,Lunatik TT5L-002 Taktik Strike Impact Protection System for iPhone 5,281.65999999999997,6.12,6,3,3
Labels,Office Supplies,Avery 502,17.64,6.17,7,4,3
Phones,Technology,Xblue XB-1670-86 X16 Small�Office Telephone�- Titanium,100.79,6.3,1,5,1
Phones,Technology,Belkin iPhone and iPad Lightning Cable,83.94,6.300000000000001,7,3.5,2
Paper,Office Supplies,Xerox 1984,12.96,6.35,2,0,1
Art,Office Supplies,Newell 338,23.52,6.35,8,5,2
Furnishings,Furniture,"Eldon Im�ge Series Desk Accessories, Clear",53.46,6.359999999999999,17,2.3333333333333335,3
Tables,Furniture,Bush Advantage Collection Round Conference Table,510.24,6.38,3,2,1
Art,Office Supplies,"Stride Job 150 Highlighters, Chisel Tip, Assorted Colors",17.94,6.46,3,5,1
Art,Office Supplies,Newell 322,30.580000000000002,6.6499999999999995,18,5,6
Art,Office Supplies,"Binney & Smith Crayola Metallic Crayons, 16-Color Pack",16.18,6.74,5,1.5,2
Furnishings,Furniture,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",108.08,6.75,15,5.25,4
Furnishings,Furniture,Tensor Brushed Steel Torchiere Floor Lamp,146.10999999999999,6.790000000000001,10,5,4
Labels,Office Supplies,Avery 479,16.7,6.840000000000001,7,6,3
Fasteners,Office Supplies,"OIC Binder Clips, Mini, 1/4"" Capacity, Black",15.620000000000001,7.08,13,4.4,5
Binders,Office Supplies,"Pressboard Data Binder, Crimson, 12"" X 8 1/2""",33.11,7.16,9,4.666666666666667,3
Labels,Office Supplies,Color-Coded Legal Exhibit Labels,14.73,7.22,3,3.5,2
Accessories,Technology,Maxell 4.7GB DVD-R 5/Pack,19,7.369999999999999,21,3.4,5
Storage,Office Supplies,Portfile Personal File Boxes,99.11999999999999,7.43,7,3,2
Binders,Office Supplies,"Acco Four Pocket Poly Ring Binder with Label Holder, Smoke, 1""",122.17999999999999,7.450000000000003,28,4.833333333333333,6
Supplies,Office Supplies,Acme Kleencut Forged Steel Scissors,35.58,7.47,7,4,3
Art,Office Supplies,Col-Erase Pencils with Erasers,37.7,7.48,7,1,2
Art,Office Supplies,Newell 310,38.720000000000006,7.49,25,4.285714285714286,7
Art,Office Supplies,Avery Hi-Liter Fluorescent Desk Style Markers,20.279999999999998,7.5,6,4.5,2
Art,Office Supplies,Newell 340,25.92,7.52,9,6,2
Fasteners,Office Supplies,Colored Push Pins,24.97,7.6000000000000005,15,2.8,5
Furnishings,Furniture,DAX Wood Document Frame.,159.26999999999998,7.689999999999998,16,3.25,4
Chairs,Furniture,SAFCO Folding Chair Trolley,192.36,7.699999999999999,2,3,2
Binders,Office Supplies,Binder Posts,57.41,7.8100000000000005,16,4,6
Art,Office Supplies,Newell 326,36.6,7.870000000000001,23,4,6
Labels,Office Supplies,Avery 510,21.75,8.100000000000001,7,3.3333333333333335,3
Art,Office Supplies,"OIC #2 Pencils, Medium Soft",30.83,8.15,17,4.571428571428571,7
Art,Office Supplies,Newell 316,46.94,8.22,11,5,2
Binders,Office Supplies,Acco Hanging Data Binders,41.92,8.22,17,4.428571428571429,7
Art,Office Supplies,"Sanford EarthWrite Recycled Pencils, Medium Soft, #2",29.4,8.24,14,3.6666666666666665,3
Paper,Office Supplies,Unpadded Memo Slips,18.31,8.36,5,4,2
Art,Office Supplies,Newell 33,47.989999999999995,8.37,10,5.666666666666667,3
Binders,Office Supplies,GBC Standard Therm-A-Bind Covers,466.01000000000005,8.499999999999993,34,4.333333333333333,12
Appliances,Office Supplies,Tripp Lite Isotel 8 Ultra 8 Outlet Metal Surge,113.55,8.52,2,6,1
Accessories,Technology,Imation�30456 USB�Flash Drive�8GB,154.56,8.56,23,4.8,5
Art,Office Supplies,Newell 344,45.59,8.57,18,4.666666666666667,6
Paper,Office Supplies,Loose Memo Sheets,18.25,8.58,5,3.5,2
Art,Office Supplies,DIXON Oriole Pencils,44.889999999999986,8.61,19,5.166666666666667,6
Art,Office Supplies,Newell 346,31.1,8.62,11,5.6,5
Labels,Office Supplies,Avery 507,24.189999999999998,8.64,10,5.5,2
Binders,Office Supplies,"Universal Recycled Hanging Pressboard Report Binders, Letter Size",72.8,8.649999999999999,20,4.2,5
Binders,Office Supplies,"Acco Recycled 2"" Capacity Laser Printer Hanging Data Binders",85.26,8.67,10,4.5,4
Accessories,Technology,Imation�8GB Mini TravelDrive USB 2.0�Flash Drive,350.2,8.75,13,3.3333333333333335,3
Furnishings,Furniture,Tenex Chairmats For Use With Carpeted Floors,175.78,8.8,11,3,4
Furnishings,Furniture,"Eldon Regeneration Recycled Desk Accessories, Smoke",33.75,8.91,21,4.2,5
Accessories,Technology,Imation�USB 2.0 Swivel�Flash Drive�USB�flash drive�- 4 GB - Pink,42.42,8.91,14,5.666666666666667,3
Fasteners,Office Supplies,Assorted Color Push Pins,34.4,8.92,21,4.75,8
Art,Office Supplies,BIC Brite Liner Grip Highlighters,24.270000000000003,8.940000000000001,17,4.2,5
Labels,Office Supplies,Self-Adhesive Address Labels for Typewriters with Dispenser Box,26.560000000000002,8.959999999999999,9,1,2
Art,Office Supplies,Economy #2 Pencils,34.58,8.979999999999999,13,3,4
Binders,Office Supplies,Heavy-Duty E-Z-D Binders,176.74000000000004,9.040000000000003,29,4,8
Paper,Office Supplies,Xerox 1985,25.92,9.07,5,3.5,2
Tables,Furniture,"Hon Practical Foundations 30 x 60 Training Table, Light Gray/Charcoal",364.08,9.1,2,0,1
Phones,Technology,Plantronics 81402,448.73,9.240000000000002,9,4.333333333333333,3
Art,Office Supplies,Dixon Ticonderoga Pencils,37.55,9.27,13,2.3333333333333335,3
Art,Office Supplies,"Eldon Spacemaker Box, Quick-Snap Lid, Clear",50.760000000000005,9.27,18,4.5,6
Furnishings,Furniture,Stacking Trays by OIC,72.7,9.32,19,4.5,6
Art,Office Supplies,Avery Fluorescent Highlighter Four-Color Set,65.47,9.34,24,5,8
Art,Office Supplies,Newell 320,81.32000000000001,9.47,23,3,7
Labels,Office Supplies,"Avery 05222 Permanent Self-Adhesive File Folder Labels for Typewriters, on Rolls, White, 250/Roll",20.65,9.5,5,3.5,2
Furnishings,Furniture,Ultra Commercial Grade Dual Valve Door Closer,63.82,9.57,2,6,1
Phones,Technology,Jabra Supreme Plus Driver Edition�Headset,95.99,9.6,1,6,1
Fasteners,Office Supplies,Acco Glide Clips,19.6,9.6,5,4,1
Accessories,Technology,Micro Innovations Wireless Classic Keyboard with Mouse,107.96,9.600000000000001,4,6,2
Art,Office Supplies,Sanford Pocket Accent Highlighters,22.4,9.64,14,5,3
Art,Office Supplies,"Avery Hi-Liter GlideStik Fluorescent Highlighter, Yellow Ink",26.08,9.65,9,4.5,2
Art,Office Supplies,Newell 348,65.6,9.719999999999999,24,4.5,6
Paper,Office Supplies,Rediform S.O.S. Phone Message Books,19.92,9.76,4,4,1
Binders,Office Supplies,Economy Binders,29.96,9.809999999999999,19,3.5,4
Binders,Office Supplies,Avery Binder Labels,26.07,9.879999999999999,8,3,4
Furnishings,Furniture,Eldon Cleatmat Chair Mats for Medium Pile Carpets,299.7,9.989999999999998,6,4.666666666666667,3
Art,Office Supplies,Newell 335,34.56,10.03,12,5.75,4
Art,Office Supplies,Newell 349,42.64,10.040000000000001,14,3.3333333333333335,3
Phones,Technology,"SmartStand Mobile Device Holder, Assorted Colors",75.5,10.059999999999999,13,5.333333333333333,3
Furnishings,Furniture,"Eldon Expressions Wood Desk Accessories, Oak",183.02999999999997,10.110000000000001,33,4.416666666666667,12
Binders,Office Supplies,3M Organizer Strips,83.16000000000001,10.159999999999998,26,3.857142857142857,7
Appliances,Office Supplies,"Holmes Visible Mist Ultrasonic Humidifier with 2.3-Gallon Output per Day, Replacement Filter",47.54,10.190000000000001,5,3,2
Supplies,Office Supplies,"Acme Design Line 8"" Stainless Steel Bent Scissors w/Champagne Handles, 3-1/8"" Cut",45.14,10.2,7,5,3
Appliances,Office Supplies,Honeywell Quietcare HEPA Air Cleaner,62.92,10.22,1,4,1
Paper,Office Supplies,"""While you Were Out"" Message Book, One Form per Page",25.22,10.39,8,4.333333333333333,3
Art,Office Supplies,Turquoise Lead Holder with Pocket Clip,37.52,10.579999999999998,6,4.666666666666667,3
Art,Office Supplies,"Binney & Smith inkTank Erasable Pocket Highlighter, Chisel Tip, Yellow",25.99,10.67,12,5,3
Art,Office Supplies,Newell 327,39.78,10.739999999999998,18,3.75,4
Envelopes,Office Supplies,Jiffy Padded Mailers with Self-Seal Closure,29.81,10.81,2,4,1
Phones,Technology,LG Exalt,124.79,10.92,1,5,1
Phones,Technology,Jawbone MINI JAMBOX Wireless Bluetooth Speaker,273.96,10.96,2,4,1
Art,Office Supplies,Newell 330,59.8,11.11,11,2,4
Supplies,Office Supplies,Acme Kleen Earth Office Shears,44.23,11.18,12,4.4,5
Phones,Technology,Square Credit Card Reader,173.82,11.190000000000003,22,3.4285714285714284,7
Labels,Office Supplies,Avery 497,24.02,11.209999999999999,8,3,2
Paper,Office Supplies,"Ampad Evidence Wirebond Steno Books, 6"" x 9""",27.47,11.29,14,4.5,4
Art,Office Supplies,Colorific Watercolor Pencils,51.6,11.3,11,2.6666666666666665,3
Appliances,Office Supplies,Disposable Triple-Filter Dust Bags,43.7,11.36,10,3.75,4
Chairs,Furniture,Hon Comfortask Task/Swivel Chairs,1447.54,11.400000000000002,15,3.4,5
Binders,Office Supplies,Storex DuraTech Recycled Plastic Frosted Binders,94.13,11.45,39,3.875,8
Accessories,Technology,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 1/Pack",83.44,11.48,14,3.3333333333333335,3
Storage,Office Supplies,Fellowes Econo/Stor Drawers,193.86,11.63,2,1,1
Binders,Office Supplies,Zipper Ring Binder Pockets,81.75,11.73,44,4.230769230769231,13
Art,Office Supplies,Newell 32,47.230000000000004,11.99,17,3.6666666666666665,6
Accessories,Technology,NETGEAR RangeMax WNR1000 Wireless Router,59.98,12,3,7,1
Storage,Office Supplies,Decoflex Hanging Personal Folder File,46.26,12.03,3,7,1
Chairs,Furniture,Hon Every-Day Chair Series Swivel Task Chairs,967.85,12.100000000000005,10,3.6666666666666665,3
Paper,Office Supplies,Rediform Voice Mail Log Books,29.200000000000003,12.16,11,3,2
Binders,Office Supplies,Avery Round Ring Poly Binders,36.92,12.290000000000001,17,3,6
Supplies,Office Supplies,Acme Stainless Steel Office Snips,81.42,12.43,13,3.25,4
Binders,Office Supplies,Avery Durable Slant Ring Binders With Label Holder,90.71000000000001,12.44,36,3.888888888888889,9
Binders,Office Supplies,Cardinal Poly Pocket Divider Pockets for Ring Binders,40.32,12.6,15,4.75,4
Art,Office Supplies,Blackstonian Pencils,49.13,12.600000000000001,19,4.5,4
Paper,Office Supplies,Xerox 1976,36.29,12.7,7,3,2
Appliances,Office Supplies,"Eureka Sanitaire  Multi-Pro Heavy-Duty Upright, Disposable Bags",83.9,12.750000000000002,22,5.8,5
Binders,Office Supplies,Wilson Jones International Size A4 Ring Binders,174.73000000000002,12.809999999999997,18,4,7
Tables,Furniture,"Chromcraft 48"" x 96"" Racetrack Double Pedestal Table",513.02,12.83,2,7,1
Phones,Technology,Belkin Grip Candy Sheer Case / Cover for iPhone 5 and 5S,64.97,12.99,8,3.6666666666666665,3
Phones,Technology,"SKILCRAFT Telephone Shoulder Rest, 2"" x 6.5"" x 2.5"", Black",56.16,13,8,2.3333333333333335,3
Art,Office Supplies,Newell 311,61.44000000000001,13.04,30,4.625,8
Furnishings,Furniture,"Eldon 300 Class Desk Accessories, Black",29.7,13.07,6,4.5,2
Furnishings,Furniture,"Eldon Regeneration Recycled Desk Accessories, Black",39.69,13.12,9,4.666666666666667,3
Art,Office Supplies,Boston 16750 Black Compact Battery Pencil Sharpener,43.75,13.129999999999999,5,5,2
Art,Office Supplies,Newell 317,79.97,13.17,32,5,7
Binders,Office Supplies,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Dark Blue",59.83,13.18,24,4.2,5
Paper,Office Supplies,Southworth 25% Cotton Granite Paper & Envelopes,37.94,13.209999999999999,7,3.6666666666666665,3
Furnishings,Furniture,"Rubbermaid ClusterMat Chairmats, Mat Size- 66"" x 60"", Lip 20"" x 11"" -90 Degree Angle",1131.9900000000002,13.310000000000002,12,3.3333333333333335,3
Supplies,Office Supplies,Fiskars Spring-Action Scissors,75.49000000000001,13.419999999999998,6,4.25,4
Art,Office Supplies,"Binney & Smith inkTank Desk Highlighter, Chisel Tip, Yellow, 12/Box",45.14999999999999,13.47,22,4.2,5
Paper,Office Supplies,Hammermill Color Copier Paper (28Lb. and 96 Bright),29.97,13.49,3,4.5,2
Art,Office Supplies,"Sanford Uni-Blazer View Highlighters, Chisel Tip, Yellow",30.799999999999997,13.55,14,6.666666666666667,3
Binders,Office Supplies,"Avery Durable Slant Ring Binders, No Labels",89.55000000000001,13.600000000000001,36,3.888888888888889,9
Binders,Office Supplies,"GBC Clear Cover, 8-1/2 x 11, unpunched, 25 covers per pack",136.44,13.64,15,4.25,4
Paper,Office Supplies,Xerox 1990,36.96,13.73,8,3,2
Furnishings,Furniture,Eldon Pizzaz Desk Accessories,37.46,13.73,19,4.75,4
Art,Office Supplies,Newell 343,65.26,13.76,24,4.571428571428571,7
Binders,Office Supplies,Recycled Pressboard Report Cover with Reinforced Top Hinge,69.77000000000001,13.77,34,4,8
Art,Office Supplies,Newell 336,68.48,13.780000000000001,18,3.25,4
Binders,Office Supplies,Avery Durable Binders,87.25999999999999,13.830000000000002,50,4.25,12
Phones,Technology,RCA ViSYS 25423RE1 Corded phone,159.98,14,2,7,1
Paper,Office Supplies,Xerox 190,29.88,14.04,6,3.5,2
Labels,Office Supplies,Avery 509,32.36,14.04,13,3,4
Phones,Technology,Anker 24W Portable Micro USB Car Charger,61.55,14.07,8,5.5,2
Art,Office Supplies,Faber Castell Col-Erase Pencils,37.160000000000004,14.08,8,4.2,5
Art,Office Supplies,American Pencil,48.93000000000001,14.19,21,4.5,6
Furnishings,Furniture,"Master Caster Door Stop, Gray",47.75,14.219999999999999,10,4.5,4
Chairs,Furniture,Global Commerce Series High-Back Swivel/Tilt Chairs,1082.92,14.25,5,4.5,2
Paper,Office Supplies,"Wirebound Message Forms, Four 2 3/4 x 5 Forms per Page, Pink Paper",35.95,14.3,5,4,2
Storage,Office Supplies,"Safco Wire Cube Shelving System, For Use as 4 or 5 14"" Cubes, Black",406.78,14.310000000000002,13,4.75,4
Art,Office Supplies,Newell 321,65.6,14.37,22,4,4
Art,Office Supplies,Newell 318,61.72,14.409999999999998,23,3.4,5
Furnishings,Furniture,"GE General Purpose, Extra Long Life, Showcase & Floodlight Incandescent Bulbs",45.400000000000006,14.549999999999999,20,3.7142857142857144,7
Furnishings,Furniture,"Master Caster Door Stop, Large Brown",59.7,14.559999999999999,10,3.3333333333333335,3
Art,Office Supplies,"Sanford Colorific Scented Colored Pencils, 12/Pack",47.080000000000005,14.59,11,3,2
Art,Office Supplies,Newell 331,75.31,14.619999999999997,17,4.75,4
Paper,Office Supplies,Xerox 1983,29.900000000000002,14.65,5,5,2
Chairs,Furniture,"Global High-Back Leather Tilter, Burgundy",1328.28,14.759999999999998,12,4.333333333333333,6
Binders,Office Supplies,Avery Poly Binder Pockets,78.04,14.77,34,3.375,8
Binders,Office Supplies,Avery Hole Reinforcements,116.52,14.840000000000002,32,4.111111111111111,9
Chairs,Furniture,SAFCO Optional Arm Kit for Workspace Cribbage Stacking Chair,245.09,14.909999999999998,12,5,5
Accessories,Technology,SanDisk Cruzer 16 GB USB Flash Drive,107.91,14.93,10,4.333333333333333,3
Phones,Technology,JBL Micro Wireless Portable Bluetooth Speaker,779.87,14.990000000000002,17,3.8333333333333335,6
Envelopes,Office Supplies,Letter or Legal Size Expandable Poly String Tie Envelopes,36.71,15.009999999999998,16,3.75,4
Binders,Office Supplies,Ibico Presentation Index for Binding Systems,72.03999999999998,15.070000000000002,27,3.7142857142857144,7
Binders,Office Supplies,Durable Pressboard Binders,37.239999999999995,15.09,11,5,2
Paper,Office Supplies,Hammermill CopyPlus Copy Paper (20Lb. and 84 Bright),32.87,15.09,7,3.3333333333333335,3
Binders,Office Supplies,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",86,15.090000000000002,21,4,4
Chairs,Furniture,Global Chrome Stack Chair,815.86,15.090000000000003,32,4.666666666666667,6
Phones,Technology,Panasonic Kx-TS550,570.28,15.179999999999998,17,4.833333333333333,6
Furnishings,Furniture,Regeneration Desk Collection,35.9,15.21,21,3.2,5
Binders,Office Supplies,Wilson Jones data.warehouse D-Ring Binders with DublLock,66.67,15.309999999999999,12,5,5
Fasteners,Office Supplies,Binder Clips by OIC,36.11,15.33,27,4.142857142857143,7
Tables,Furniture,"Barricks Non-Folding Utility Table with Steel Legs, Laminate Tops",136.46,15.35,2,2,1
Labels,Office Supplies,Avery 498,35.260000000000005,15.35,13,5,3
Furnishings,Furniture,Dax Clear Box Frame,96.03,15.370000000000001,14,4.166666666666667,6
Paper,Office Supplies,Xerox 1980,34.24,15.41,8,5.5,2
Furnishings,Furniture,"Tenex Traditional Chairmats for Hard Floors, Average Lip, 36"" x 48""",128.9,15.47,2,1,1
Art,Office Supplies,Newell 332,67.03,15.529999999999998,24,3.8,5
Binders,Office Supplies,Wilson Jones DublLock D-Ring Binders,35.78,15.53,6,2,2
Paper,Office Supplies,Xerox 1958,32.400000000000006,15.55,5,3,2
Binders,Office Supplies,"Black Avery Memo-Size 3-Ring Binder, 5 1/2"" x 8 1/2""",45.5,15.559999999999999,16,4.25,4
Art,Office Supplies,Rogers Handheld Barrel Pencil Sharpener,75.63,15.629999999999999,30,4.857142857142857,7
Paper,Office Supplies,"Ampad Poly Cover Wirebound Steno Book, 6"" x 9"" Assorted Colors, Gregg Ruled",38.14,15.669999999999998,9,4.25,4
Art,Office Supplies,Newell 350,62.32000000000001,15.739999999999998,20,4.333333333333333,6
Art,Office Supplies,"Hunt BOSTON Vista Battery-Operated Pencil Sharpener, Black",83.96,15.86,8,2.5,4
Furnishings,Furniture,Document Clip Frames,45.04,16.009999999999998,6,2,2
Phones,Technology,Cisco SPA 501G IP Phone,213.48,16.01,3,5,1
Accessories,Technology,Belkin QODE FastFit Bluetooth Keyboard,495.6,16.099999999999998,9,4.5,2
Accessories,Technology,"Verbatim Slim CD and DVD Storage Cases, 50/Pack",80.78,16.150000000000002,8,3.5,4
Accessories,Technology,Kingston Digital DataTraveler 64GB USB 2.0,202.68,16.22,6,4,2
Binders,Office Supplies,Acco Translucent Poly Ring Binders,91.72,16.28,31,3.75,8
Art,Office Supplies,Boston 16765 Mini Stand Up Battery Pencil Sharpener,102.61,16.32,10,1.75,4
Paper,Office Supplies,Xerox 1998,46.66,16.33,9,4.5,2
Paper,Office Supplies,"Adams Write n' Stick Phone Message Book, 11"" X 5 1/4"", 200 Messages",40.9,16.37,8,4.333333333333333,3
Paper,Office Supplies,Xerox 1926,34.86,16.38,7,4,1
Storage,Office Supplies,Acco Perma 3000 Stacking Storage Drawers,373.44,16.57,21,4,6
Paper,Office Supplies,Xerox 207,40.18,16.59,7,5,2
Binders,Office Supplies,3-ring staple pack,42.11,16.69,26,2.6666666666666665,6
Binders,Office Supplies,Avery Binding System Hidden Tab Executive Style Index Sets,91.74000000000001,16.729999999999997,26,2.75,8
Envelopes,Office Supplies,"#10 Gummed Flap White Envelopes, 100/Box",41.3,16.77,11,5.75,4
Storage,Office Supplies,"Perma STOR-ALL Hanging File Box, 13 1/8""W x 12 1/4""D x 10 1/2""H",180.60000000000002,16.799999999999997,33,5,8
Art,Office Supplies,"Dixon My First Ticonderoga Pencil, #2",95.94,17.03,19,4.25,4
Furnishings,Furniture,Eldon Image Series Black Desk Accessories,48.85,17.05,12,4,5
Furnishings,Furniture,Stackable Trays,65.3,17.130000000000003,23,3.7142857142857144,7
Paper,Office Supplies,Xerox 1972,46.47,17.42,10,4.2,5
Furnishings,Furniture,"Eldon Delta Triangular Chair Mat, 52"" x 58"", Clear",546.1899999999999,17.45,17,3.3333333333333335,6
Phones,Technology,PayAnywhere Card Reader,199.8,17.48,25,3.4,5
Paper,Office Supplies,Xerox 1921,55.94,17.490000000000002,7,2.3333333333333335,3
Phones,Technology,iHome FM Clock Radio with Lightning Dock,699.9,17.5,13,3.4,5
Appliances,Office Supplies,Bionaire 99.97% HEPA Air Cleaner,199.73,17.519999999999996,16,5,4
Art,Office Supplies,Barrel Sharpener,67.83,17.62,19,6,4
Accessories,Technology,Imation�Swivel�Flash Drive�USB�flash drive�- 8 GB,54.58,17.63,5,5.5,2
Appliances,Office Supplies,Belkin 7 Outlet SurgeMaster Surge Protector with Phone Protection,157.92,17.77,5,3,1
Chairs,Furniture,Hon 4700 Series Mobuis Mid-Back Task Chairs with Adjustable Arms,1423.92,17.8,5,4,2
Art,Office Supplies,"Boston 1827 Commercial Additional Cutter, Drive Gear & Gear Rack for 1606",59.489999999999995,17.85,3,2,2
Art,Office Supplies,"Sanford Colorific Eraseable Coloring Pencils, 12 Count",45.919999999999995,17.87,15,3,4
Art,Office Supplies,Newell 314,118.29999999999998,17.87,24,3.857142857142857,7
Phones,Technology,Samsung Replacement EH64AVFWE Premium Headset,104.5,17.889999999999997,21,5.2,5
Appliances,Office Supplies,Hoover Shoulder Vac Commercial Portable Vacuum,286.26,17.89,1,4,1
Phones,Technology,Griffin GC36547 PowerJolt SE Lightning Charger,175.41,17.990000000000002,10,3,3
Fasteners,Office Supplies,"Acco Banker's Clasps, 5 3/4""-Long",40.89,17.990000000000002,15,3.4,5
Binders,Office Supplies,Prestige Round Ring Binders,85.73,18.04,21,4.375,8
Art,Office Supplies,Nontoxic Chalk,42.940000000000005,18.23,27,4.375,8
Binders,Office Supplies,"GBC Laser Imprintable Binding System Covers, Desert Sand",146.99,18.400000000000002,17,4.5,6
Binders,Office Supplies,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Light Blue",131.1,18.439999999999998,45,4.181818181818182,11
Phones,Technology,AT&T SB67148 SynJ,211.16,18.48,4,5.5,2
Furnishings,Furniture,"Executive Impressions 8-1/2"" Career Panel/Partition Cubicle Clock",66.56,18.51,7,4,2
Binders,Office Supplies,GBC VeloBind Cover Sets,342.77000000000004,18.53,42,3.3636363636363638,11
Labels,Office Supplies,Avery 491,45.43,18.67,12,4.666666666666667,3
Paper,Office Supplies,"While You Were Out Pads, 50 per Pad, 4 x 5 1/4, Green Cycle",50.13,18.790000000000003,13,2.5,4
Art,Office Supplies,Prang Dustless Chalk Sticks,38.97,18.81,24,3,8
Art,Office Supplies,Newell 333,86.74000000000001,18.84,33,4.090909090909091,11
Paper,Office Supplies,Xerox 1953,47.08,18.84,12,4.5,4
Labels,Office Supplies,Avery 517,44.28,18.85,13,4.5,4
Binders,Office Supplies,Flexible Leather- Look Classic Collection Ring Binder,142.04,18.93,13,5,6
Labels,Office Supplies,Permanent Self-Adhesive File Folder Labels for Typewriters by Universal,44.37,18.990000000000002,18,4.166666666666667,6
Envelopes,Office Supplies,Colored Envelopes,50.93,19.04,16,3.8,5
Art,Office Supplies,Boston 16701 Slimline Battery Pencil Sharpener,86.08,19.13,6,4.5,2
Furnishings,Furniture,12-1/2 Diameter Round Wall Clock,351.66,19.169999999999995,26,4,7
Binders,Office Supplies,ACCOHIDE Binder by Acco,65.25,19.29,21,4.25,4
Art,Office Supplies,"Premium Writing Pencils, Soft, #2 by Central Association for the Blind",81.64999999999999,19.440000000000005,29,3.857142857142857,7
Binders,Office Supplies,"Acco PRESSTEX Data Binder with Storage Hooks, Light Blue, 9 1/2"" X 11""",67.25,19.69,17,4.4,5
Paper,Office Supplies,Xerox 199,57.349999999999994,19.69,16,4,4
Chairs,Furniture,Office Star - Contemporary Swivel Chair with Padded Adjustable Arms and Flex Back,1578.9699999999998,19.740000000000002,14,4.2,5
Art,Office Supplies,Newell 328,75.92000000000002,19.740000000000002,13,2.3333333333333335,3
Fasteners,Office Supplies,Advantus SlideClip Paper Clips,46.38,19.77,15,3.3333333333333335,3
Fasteners,Office Supplies,Advantus T-Pin Paper Clips,64.03999999999999,20.02,16,4.2,5
Art,Office Supplies,"Dixon Ticonderoga Erasable Colored Pencil Set, 12-Color",75.35,20.09,14,5.5,2
Fasteners,Office Supplies,Stockwell Push Pins,69.76,20.12,34,3.75,8
Fasteners,Office Supplies,Advantus Push Pins,54.94,20.22,27,4.428571428571429,7
Supplies,Office Supplies,Acme Titanium Bonded Scissors,102,20.229999999999997,13,2.8,5
Paper,Office Supplies,"TOPS Voice Message Log Book, Flash Format",49.5,20.369999999999997,12,3.6666666666666665,3
Supplies,Office Supplies,Acme Value Line Scissors,76.65,20.46,22,3.8,10
Fasteners,Office Supplies,Advantus Map Pennant Flags and Round Head Tacks,87.69,20.549999999999997,25,2,6
Furnishings,Furniture,"Eldon Expressions Punched Metal & Wood Desk Accessories, Black & Cherry",155.71,20.630000000000003,20,3.8,5
